Minute,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
0,19,16,5,15,13,3,7,8,18,9
1,39,18,3,34,20,5,10,2,16,13
2,37,18,2,18,19,2,21,0,12,12
3,29,21,1,32,20,3,8,5,18,10
4,34,17,0,6,19,15,15,2,11,9
5,33,14,6,24,16,1,13,22,16,14
6,30,16,3,9,20,2,9,4,20,13
7,33,21,8,32,20,1,10,9,18,12
8,36,19,8,29,26,21,4,10,20,8
9,38,16,7,29,14,7,13,0,13,10
10,27,15,2,26,24,5,12,11,20,13
11,30,18,3,7,23,2,12,2,20,11
12,32,14,0,28,24,4,16,8,18,11
13,26,26,2,26,15,4,7,33,21,10
14,29,19,2,7,21,6,8,1,17,6
15,26,22,0,33,20,4,16,7,27,6
16,33,16,1,20,22,6,9,3,25,9
17,34,20,0,6,15,10,6,14,22,9
18,28,17,3,23,18,3,8,14,19,7
19,34,23,25,32,24,12,10,14,14,10
20,31,14,1,27,21,4,5,32,11,11
21,31,25,18,17,12,9,3,16,20,5
22,32,16,2,5,21,1,15,6,25,8
23,30,21,4,34,19,10,13,2,22,12
24,34,24,5,28,18,3,13,2,12,6
25,35,16,1,34,18,2,5,5,18,10
26,24,19,0,8,21,4,18,48,21,10
27,33,15,7,6,18,6,8,38,21,15
28,29,23,4,19,15,2,6,24,22,8
29,34,14,11,28,16,8,11,8,21,11
30,24,23,0,13,21,4,10,8,20,13
31,35,17,7,15,18,10,0,13,11,11
32,28,27,5,7,23,3,9,63,25,12
33,18,24,0,30,24,2,11,62,18,8
34,28,24,12,28,27,4,8,4,17,6
35,35,20,8,12,22,5,20,4,27,11
36,34,24,8,16,18,2,9,2,23,9
37,28,18,4,27,19,10,8,33,19,9
38,37,15,1,24,21,4,12,57,24,8
39,27,15,11,29,19,12,13,32,18,8
40,38,23,2,6,15,1,6,3,14,12
41,25,26,3,22,18,4,1,2,16,8
42,21,21,1,23,17,3,8,12,14,9
43,39,24,0,29,19,5,18,3,20,8
44,35,17,3,14,23,6,8,25,21,10
45,31,21,1,27,16,4,10,32,16,7
46,34,22,0,19,16,2,11,4,19,10
47,29,19,1,28,20,1,16,3,19,12
48,30,22,1,27,20,8,11,0,24,11
49,18,25,5,31,22,11,13,7,22,13
50,27,24,1,12,25,5,10,7,16,9
51,26,21,4,18,20,1,10,13,17,11
52,37,20,4,9,21,1,6,5,25,10
53,36,21,9,20,19,2,9,7,16,10
54,34,20,1,12,15,3,16,7,26,11
55,35,20,13,20,25,2,7,1,24,7
56,30,20,1,34,19,1,2,20,21,7
57,39,21,4,15,16,9,13,0,22,11
58,25,18,1,6,21,7,10,7,20,10
59,32,19,1,7,16,4,5,3,15,11
60,28,29,1,7,18,13,11,34,15,12
61,22,22,6,34,25,2,10,4,25,5
62,31,28,0,26,23,6,14,14,14,10
63,28,19,4,31,18,1,19,20,15,11
64,21,18,0,9,18,28,3,33,15,10
65,31,28,1,10,19,2,3,10,20,13
66,21,12,15,26,23,4,13,5,17,8
67,25,27,15,10,20,6,4,26,23,14
68,39,21,0,21,17,12,14,7,19,13
69,30,30,7,11,19,1,18,1,21,8
70,32,13,5,28,17,1,8,6,26,8
71,31,19,4,26,19,5,12,6,18,11
72,31,13,10,28,20,8,10,6,16,10
73,18,10,13,30,21,1,16,14,17,7
74,30,25,3,14,15,3,10,7,24,7
75,34,22,8,9,20,1,13,19,20,13
76,29,19,5,13,21,10,10,30,14,11
77,39,19,4,6,21,2,5,2,20,9
78,32,15,2,28,21,5,7,17,11,12
79,31,22,4,31,15,5,7,3,19,11
80,42,18,2,6,19,3,5,34,12,9
81,34,19,5,29,19,5,16,23,21,11
82,21,18,2,20,22,14,5,57,20,10
83,25,18,1,17,22,3,3,4,17,9
84,23,20,2,17,15,8,4,11,17,13
85,33,21,6,32,19,2,12,4,17,10
86,27,12,12,20,18,1,9,17,20,11
87,26,17,5,16,27,1,14,3,28,8
88,37,25,8,34,17,4,4,7,22,10
89,25,23,10,15,16,1,8,5,22,11
90,27,12,2,6,22,5,13,2,15,10
91,23,18,2,28,15,1,15,6,24,8
92,28,23,4,21,20,7,13,18,15,8
93,35,33,9,14,22,5,23,9,23,12
94,30,19,5,12,16,3,8,2,25,9
95,39,12,7,17,22,1,16,14,28,11
96,32,16,3,26,26,1,8,27,18,12
97,31,34,5,21,18,5,13,8,21,14
98,16,15,2,28,16,6,11,33,21,10
99,34,16,4,22,19,2,8,17,25,12
100,29,22,4,28,18,20,15,12,23,7
101,26,21,1,16,24,3,6,19,18,12
102,39,20,7,10,15,1,10,3,24,9
103,19,17,17,18,18,14,8,4,20,7
104,32,19,1,7,29,9,10,1,24,10
105,31,13,5,25,24,20,5,11,26,10
106,33,20,6,6,19,6,10,5,16,9
107,20,23,2,25,22,2,6,18,21,10
108,30,23,14,7,19,1,16,7,27,10
109,29,12,4,16,16,1,16,8,22,14
110,38,17,0,24,20,8,6,4,25,9
111,35,24,0,29,22,9,12,5,28,9
112,39,19,2,5,25,5,8,4,20,12
